Roaster Name,Location,Equipment / Notes,Shop URL
51 Degrees North,Barnstaple,—,51degreesnorthcoffee.com
A S Apothecary,Isle of Harris,Organic skincare & specialty coffee roastery,asapoth.com
Acorn,"Bordon, Hampshire",Located at The Shed,theshedwb.com
Album,London,Mathew Robley-Siemonsma (UK Roasting Champion),albumcoffee.com
Alema,Bury St Edmunds,—,alemacoffee.co.uk
Allpress,London,—,allpressespresso.com
Allcaps,Chester,Funky processes,allcaps.coffee
Ancoats,Manchester,—,ancoatscoffee.co.uk
Anonymous,Henley-upon-Thames,—,anonymouscoffee.co.uk
Apricity,Prestatyn,—,apricitycoffee.co.uk
Artisan,Edinburgh,—,artisan-coffee.com
Assembly,London,Over ripe series,assemblycoffee.co.uk
Asylum Coffee,Swindon,—,asylumcoffeehouse.co.uk
Atkinson,Lancaster,Historic UK roaster,thecoffeehopper.com
Atrium,Manchester,—,atriumcoffee.co.uk
BAD Coffee,Hackney Wick,—,badcoffee.co.uk
Barista Culture,Milton Keynes,—,baristaculture.co.uk
Bean Works,Northampton,Medium roast,beanworks.co.uk
Bell's Beans,Surrey,—,bellsbeans.co.uk
Bex's Cafe,Huddersfield,Medium roast / Guatemalan,bexscafe.co.uk
Bjorn,Holmfirth,Giesen W6E,bjorncoffee.co.uk
Blackfinger,London,—,blackfinger.co.uk
Blossom,Manchester,—,blossomcoffeeroasters.com
Blue Hour,Winchester,—,bluehourcoffee.co.uk
Cafen,Edinburgh,—,cafen.co.uk
Cairngorm,Edinburgh,—,cairngormcoffee.com
Calico,London,Roest 3000,calicocoffee.co.uk
Campbell & Syme,London,—,campbellandsyme.co.uk
Caretta Coffee,Cornwall,—,carettacoffee.co.uk
Caribe,Morpeth,—,caribecoffee.co.uk
Carnival,London,—,carnivalcoffee.co.uk
Carter,Edinburgh,—,cartercoffee.co.uk
Cartwheel,Nottingham,—,cartwheelcoffee.com
Casa,Shipley,—,casacoffee.co.uk
Cast Iron,Chichester,—,castironroasters.com
Catalyst,London,—,catalyst.coffee
Chimney Fire,Dorking,—,chimneyfirecoffee.com
CHIPP,Leeds,Ever Roast,chippcoffeeroasters.co.uk
Cierios,Llanberis,—,cierios.co.uk
Clifton,Bristol,—,cliftoncoffee.co.uk
Coal Town,Ammanford,—,coaltowncoffee.co.uk
Coborn,London,Women-owned / female producers,coborncoffee.co.uk
